date,event_type,description,portfolio_value,vix_level,holdings,return_pct,cash_pct,year,month,year_month
2017-04-03,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2017,4,2017-04
2017-04-03,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2017,4,2017-04
2017-04-03,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2017,4,2017-04
2017-04-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, TAP-A",115562.0,10.5,"VIX, TAP-A",15.6,5.0,2017,4,2017-04
2017-04-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, TAP-A",115562.0,10.5,"VIX, TAP-A",15.6,5.0,2017,4,2017-04
2017-04-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, TAP-A",115562.0,10.5,"VIX, TAP-A",15.6,5.0,2017,4,2017-04
2017-05-08,PORTFOLIO_SNAPSHOT,"Holdings: VIX, UAA",115022.0,10.0,"VIX, UAA",15.0,5.0,2017,5,2017-05
2017-05-08,PORTFOLIO_SNAPSHOT,"Holdings: VIX, UAA",115022.0,10.0,"VIX, UAA",15.0,5.0,2017,5,2017-05
2017-05-08,PORTFOLIO_SNAPSHOT,"Holdings: VIX, UAA",115022.0,10.0,"VIX, UAA",15.0,5.0,2017,5,2017-05
2017-06-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, KIM",114746.0,8.7,"VIX, KIM",14.7,5.0,2017,6,2017-06
2017-06-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, KIM",114746.0,8.7,"VIX, KIM",14.7,5.0,2017,6,2017-06
2017-06-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, KIM",114746.0,8.7,"VIX, KIM",14.7,5.0,2017,6,2017-06
2017-07-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, MRO",129298.0,12.0,"VIX, MRO",29.3,5.0,2017,7,2017-07
2017-07-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, MRO",129298.0,12.0,"VIX, MRO",29.3,5.0,2017,7,2017-07
2017-07-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, MRO",129298.0,12.0,"VIX, MRO",29.3,5.0,2017,7,2017-07
2017-08-07,PORTFOLIO_SNAPSHOT,"Holdings: UAA, TWLO",131806.0,11.7,"UAA, TWLO",31.8,5.0,2017,8,2017-08
2017-08-07,PORTFOLIO_SNAPSHOT,"Holdings: UAA, TWLO",131806.0,11.7,"UAA, TWLO",31.8,5.0,2017,8,2017-08
2017-08-07,PORTFOLIO_SNAPSHOT,"Holdings: UAA, TWLO",131806.0,11.7,"UAA, TWLO",31.8,5.0,2017,8,2017-08
2017-09-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, TWLO",127104.0,10.9,"VIX, TWLO",27.1,5.0,2017,9,2017-09
2017-09-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, TWLO",127104.0,10.9,"VIX, TWLO",27.1,5.0,2017,9,2017-09
2017-09-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, TWLO",127104.0,10.9,"VIX, TWLO",27.1,5.0,2017,9,2017-09
2017-10-02,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2017,10,2017-10
2017-10-02,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2017,10,2017-10
2017-10-02,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2017,10,2017-10
2017-10-09,PORTFOLIO_SNAPSHOT,"Holdings: TWLO, AMCR",131226.0,11.8,"TWLO, AMCR",31.2,5.0,2017,10,2017-10
2017-10-09,PORTFOLIO_SNAPSHOT,"Holdings: TWLO, AMCR",131226.0,11.8,"TWLO, AMCR",31.2,5.0,2017,10,2017-10
2017-10-09,PORTFOLIO_SNAPSHOT,"Holdings: TWLO, AMCR",131226.0,11.8,"TWLO, AMCR",31.2,5.0,2017,10,2017-10
2017-11-07,PORTFOLIO_SNAPSHOT,"Holdings: AAP, AMCR",131513.0,14.8,"AAP, AMCR",31.5,5.0,2017,11,2017-11
2017-11-07,PORTFOLIO_SNAPSHOT,"Holdings: AAP, AMCR",131513.0,14.8,"AAP, AMCR",31.5,5.0,2017,11,2017-11
2017-11-07,PORTFOLIO_SNAPSHOT,"Holdings: AAP, AMCR",131513.0,14.8,"AAP, AMCR",31.5,5.0,2017,11,2017-11
2017-12-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",143443.0,11.4,"VIX, AMCR",43.4,5.0,2017,12,2017-12
2017-12-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",143443.0,11.4,"VIX, AMCR",43.4,5.0,2017,12,2017-12
2017-12-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",143443.0,11.4,"VIX, AMCR",43.4,5.0,2017,12,2017-12
2018-01-08,PORTFOLIO_SNAPSHOT,"Holdings: VIX, STX",154523.0,10.4,"VIX, STX",54.5,5.0,2018,1,2018-01
2018-01-08,PORTFOLIO_SNAPSHOT,"Holdings: VIX, STX",154523.0,10.4,"VIX, STX",54.5,5.0,2018,1,2018-01
2018-01-08,PORTFOLIO_SNAPSHOT,"Holdings: VIX, STX",154523.0,10.4,"VIX, STX",54.5,5.0,2018,1,2018-01
2018-02-07,PORTFOLIO_SNAPSHOT,"Holdings: CMG, TAP-A",189921.0,23.0,"CMG, TAP-A",89.9,20.0,2018,2,2018-02
2018-02-07,PORTFOLIO_SNAPSHOT,"Holdings: CMG, TAP-A",189921.0,23.0,"CMG, TAP-A",89.9,20.0,2018,2,2018-02
2018-02-07,PORTFOLIO_SNAPSHOT,"Holdings: CMG, TAP-A",189921.0,23.0,"CMG, TAP-A",89.9,20.0,2018,2,2018-02
2018-03-07,PORTFOLIO_SNAPSHOT,"Holdings: OKTA, ANET",195034.0,23.6,"OKTA, ANET",95.0,20.0,2018,3,2018-03
2018-03-07,PORTFOLIO_SNAPSHOT,"Holdings: OKTA, ANET",195034.0,23.6,"OKTA, ANET",95.0,20.0,2018,3,2018-03
2018-03-07,PORTFOLIO_SNAPSHOT,"Holdings: OKTA, ANET",195034.0,23.6,"OKTA, ANET",95.0,20.0,2018,3,2018-03
2018-04-02,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2018,4,2018-04
2018-04-02,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2018,4,2018-04
2018-04-02,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2018,4,2018-04
2018-04-09,PORTFOLIO_SNAPSHOT,"Holdings: VIX, TAP-A",185403.0,22.0,"VIX, TAP-A",85.4,20.0,2018,4,2018-04
2018-04-09,PORTFOLIO_SNAPSHOT,"Holdings: VIX, TAP-A",185403.0,22.0,"VIX, TAP-A",85.4,20.0,2018,4,2018-04
2018-04-09,PORTFOLIO_SNAPSHOT,"Holdings: VIX, TAP-A",185403.0,22.0,"VIX, TAP-A",85.4,20.0,2018,4,2018-04
2018-05-07,PORTFOLIO_SNAPSHOT,"Holdings: TAP-A, AMCR",171818.0,20.4,"TAP-A, AMCR",71.8,20.0,2018,5,2018-05
2018-05-07,PORTFOLIO_SNAPSHOT,"Holdings: TAP-A, AMCR",171818.0,20.4,"TAP-A, AMCR",71.8,20.0,2018,5,2018-05
2018-05-07,PORTFOLIO_SNAPSHOT,"Holdings: TAP-A, AMCR",171818.0,20.4,"TAP-A, AMCR",71.8,20.0,2018,5,2018-05
2018-06-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, IR",182652.0,14.5,"VIX, IR",82.7,5.0,2018,6,2018-06
2018-06-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, IR",182652.0,14.5,"VIX, IR",82.7,5.0,2018,6,2018-06
2018-06-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, IR",182652.0,14.5,"VIX, IR",82.7,5.0,2018,6,2018-06
2018-07-09,PORTFOLIO_SNAPSHOT,"Holdings: ADBE, VIX",176883.0,16.8,"ADBE, VIX",76.9,10.0,2018,7,2018-07
2018-07-09,PORTFOLIO_SNAPSHOT,"Holdings: ADBE, VIX",176883.0,16.8,"ADBE, VIX",76.9,10.0,2018,7,2018-07
2018-07-09,PORTFOLIO_SNAPSHOT,"Holdings: ADBE, VIX",176883.0,16.8,"ADBE, VIX",76.9,10.0,2018,7,2018-07
2018-08-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, TWLO",177612.0,15.9,"VIX, TWLO",77.6,10.0,2018,8,2018-08
2018-08-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, TWLO",177612.0,15.9,"VIX, TWLO",77.6,10.0,2018,8,2018-08
2018-08-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, TWLO",177612.0,15.9,"VIX, TWLO",77.6,10.0,2018,8,2018-08
2018-09-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, OKTA",171384.0,13.9,"VIX, OKTA",71.4,5.0,2018,9,2018-09
2018-09-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, OKTA",171384.0,13.9,"VIX, OKTA",71.4,5.0,2018,9,2018-09
2018-09-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, OKTA",171384.0,13.9,"VIX, OKTA",71.4,5.0,2018,9,2018-09
2018-10-01,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2018,10,2018-10
2018-10-01,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2018,10,2018-10
2018-10-01,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2018,10,2018-10
2018-10-08,PORTFOLIO_SNAPSHOT,"Holdings: VIX, SNAP",159346.0,12.9,"VIX, SNAP",59.3,5.0,2018,10,2018-10
2018-10-08,PORTFOLIO_SNAPSHOT,"Holdings: VIX, SNAP",159346.0,12.9,"VIX, SNAP",59.3,5.0,2018,10,2018-10
2018-10-08,PORTFOLIO_SNAPSHOT,"Holdings: VIX, SNAP",159346.0,12.9,"VIX, SNAP",59.3,5.0,2018,10,2018-10
2018-11-07,PORTFOLIO_SNAPSHOT,"Holdings: TWLO, KBH",191383.0,23.5,"TWLO, KBH",91.4,20.0,2018,11,2018-11
2018-11-07,PORTFOLIO_SNAPSHOT,"Holdings: TWLO, KBH",191383.0,23.5,"TWLO, KBH",91.4,20.0,2018,11,2018-11
2018-11-07,PORTFOLIO_SNAPSHOT,"Holdings: TWLO, KBH",191383.0,23.5,"TWLO, KBH",91.4,20.0,2018,11,2018-11
2018-12-07,PORTFOLIO_SNAPSHOT,"Holdings: GE, TAP-A",180260.0,26.5,"GE, TAP-A",80.3,35.0,2018,12,2018-12
2018-12-07,PORTFOLIO_SNAPSHOT,"Holdings: GE, TAP-A",180260.0,26.5,"GE, TAP-A",80.3,35.0,2018,12,2018-12
2018-12-07,PORTFOLIO_SNAPSHOT,"Holdings: GE, TAP-A",180260.0,26.5,"GE, TAP-A",80.3,35.0,2018,12,2018-12
2019-01-07,PORTFOLIO_SNAPSHOT,"Holdings: SNAP, ETN",191204.0,33.1,"SNAP, ETN",91.2,50.0,2019,1,2019-01
2019-01-07,PORTFOLIO_SNAPSHOT,"Holdings: SNAP, ETN",191204.0,33.1,"SNAP, ETN",91.2,50.0,2019,1,2019-01
2019-01-07,PORTFOLIO_SNAPSHOT,"Holdings: SNAP, ETN",191204.0,33.1,"SNAP, ETN",91.2,50.0,2019,1,2019-01
2019-02-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, SNAP",211934.0,25.7,"VIX, SNAP",111.9,35.0,2019,2,2019-02
2019-02-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, SNAP",211934.0,25.7,"VIX, SNAP",111.9,35.0,2019,2,2019-02
2019-02-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, SNAP",211934.0,25.7,"VIX, SNAP",111.9,35.0,2019,2,2019-02
2019-03-01,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2019,3,2019-03
2019-03-01,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2019,3,2019-03
2019-03-01,MODEL_RETRAIN,Models retrained with 63-day prediction horizon,,,,,,2019,3,2019-03
2019-03-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, BLDR",210625.0,18.5,"VIX, BLDR",110.6,10.0,2019,3,2019-03
2019-03-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, BLDR",210625.0,18.5,"VIX, BLDR",110.6,10.0,2019,3,2019-03
2019-03-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, BLDR",210625.0,18.5,"VIX, BLDR",110.6,10.0,2019,3,2019-03
2019-04-08,PORTFOLIO_SNAPSHOT,"Holdings: VIX, LUMN",226378.0,16.3,"VIX, LUMN",126.4,10.0,2019,4,2019-04
2019-04-08,PORTFOLIO_SNAPSHOT,"Holdings: VIX, LUMN",226378.0,16.3,"VIX, LUMN",126.4,10.0,2019,4,2019-04
2019-04-08,PORTFOLIO_SNAPSHOT,"Holdings: VIX, LUMN",226378.0,16.3,"VIX, LUMN",126.4,10.0,2019,4,2019-04
2019-05-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, APA",212781.0,14.1,"VIX, APA",112.8,5.0,2019,5,2019-05
2019-05-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, APA",212781.0,14.1,"VIX, APA",112.8,5.0,2019,5,2019-05
2019-05-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, APA",212781.0,14.1,"VIX, APA",112.8,5.0,2019,5,2019-05
2019-06-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",222149.0,20.3,"VIX, AMCR",122.1,20.0,2019,6,2019-06
2019-06-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",222149.0,20.3,"VIX, AMCR",122.1,20.0,2019,6,2019-06
2019-06-07,PORTFOLIO_SNAPSHOT,"Holdings: VIX, AMCR",222149.0,20.3,"VIX, AMCR",122.1,20.0,2019,6,2019-06
